date,time,epoch,sid,temperature,humidity,light,voltage
2004/03/31,38:15.8,1,1,122.153,-3.91901,11.04,2.03397
2004/02/28,59:16.0,2,1,19.9884,37.0933,45.08,2.69964
2004/02/28,03:16.3,3,1,19.3024,38.4629,45.08,2.68742
2004/02/28,06:16.0,4,1,19.1652,38.8039,45.08,2.68742
2004/02/28,06:46.8,5,1,19.175,38.8379,45.08,2.69964
2004/02/28,08:46.0,6,1,19.1456,38.9401,45.08,2.68742
2004/02/28,09:22.3,7,1,19.1652,38.872,45.08,2.68742
2004/02/28,09:46.1,8,1,19.1652,38.8039,45.08,2.68742
2004/02/28,10:16.7,9,1,19.1456,38.8379,45.08,2.69964
2004/02/28,10:46.3,10,1,19.1456,38.872,45.08,2.68742
2004/02/28,11:46.9,11,1,19.1456,38.9401,45.08,2.69964
2004/02/28,12:46.3,12,1,19.1358,38.9061,45.08,2.68742
2004/02/28,14:16.6,13,1,19.1162,38.8039,45.08,2.69964
2004/02/28,14:46.6,14,1,19.1162,38.872,45.08,2.69964
2004/02/28,15:16.6,15,1,19.1064,39.0082,45.08,2.69964
2004/02/28,16:16.3,16,1,19.1064,38.872,43.24,2.69964
2004/02/28,16:46.5,17,1,19.0966,38.8039,43.24,2.69964
2004/02/28,17:46.4,18,1,19.0966,38.7357,43.24,2.69964
2004/02/28,18:16.5,19,1,19.0868,38.8039,43.24,2.69964
2004/02/28,20:16.1,20,1,19.0672,38.9061,43.24,2.68742
2004/02/28,20:46.0,21,1,19.0672,38.872,43.24,2.69964
2004/02/28,21:16.6,22,1,19.0672,38.9061,43.24,2.69964
2004/02/28,22:16.0,23,1,19.0868,39.0082,43.24,2.69964
2004/02/28,23:16.9,24,1,19.0182,38.7357,43.24,2.68742
2004/02/28,23:46.5,25,1,19.0182,38.7357,43.24,2.69964
2004/02/28,24:16.2,26,1,19.0084,38.8039,43.24,2.69964
2004/02/28,26:16.7,27,1,19.0084,38.9401,43.24,2.68742
2004/02/28,26:46.5,28,1,19.0084,38.9401,43.24,2.69964
2004/02/28,28:46.5,29,1,18.9986,38.9742,43.24,2.68742
2004/02/28,29:46.1,30,1,19.0084,38.9742,43.24,2.69964
2004/02/28,30:46.5,31,1,18.9888,39.0422,43.24,2.68742
2004/02/28,32:16.6,32,1,18.9692,38.9401,43.24,2.69964
2004/02/28,32:46.3,33,1,18.979,39.0763,43.24,2.69964
2004/02/28,33:46.4,34,1,18.979,38.9742,43.24,2.68742
